""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_1940"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_1941"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1942"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1943"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetia [C]"	"Planctomycetia [C]"	"Planctomycetia [C]"
"OTU_1944"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomycetaceae [F]"
"OTU_1945"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetia [C]"	"Planctomycetia [C]"	"Planctomycetia [C]"
"OTU_1946"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1947"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1948"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1949"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1950"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1951"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1952"	"Bacteria"	"Spirochaetes"	"Spirochaetes [P]"	"Spirochaetes [P]"	"Spirochaetes [P]"	"Spirochaetes [P]"
"OTU_1953"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophagaceae [F]"
"OTU_1954"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1955"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_1956"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1957"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_1958"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1959"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria genera (is)"
"OTU_1960"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria genera (is)"
"OTU_1961"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1962"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"
"OTU_1963"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_1964"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1965"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Desulfomonile"
"OTU_1966"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_1967"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_1968"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1969"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_1970"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_1971"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_1972"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_1973"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1974"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_1975"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Cellvibrio"
"OTU_1976"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_1977"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_1978"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1979"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1980"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_1981"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"
"OTU_1982"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1983"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1984"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_1985"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Polynucleobacter"
"OTU_1986"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"
"OTU_1987"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_1988"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1989"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1990"	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"Chlamydiia [C]"	"Chlamydiia [C]"	"Chlamydiia [C]"
"OTU_1991"	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"Chlamydiia [C]"	"Chlamydiia [C]"	"Chlamydiia [C]"
"OTU_1992"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetia [C]"	"Planctomycetia [C]"	"Planctomycetia [C]"
"OTU_1993"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1994"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_1995"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1996"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1997"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_1998"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_1999"	"Bacteria"	"Ignavibacteriae"	"Ignavibacteria"	"Ignavibacteriales"	"Ignavibacteriaceae"	"Ignavibacterium"
"OTU_2000"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2001"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2002"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_2003"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2004"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes (is)"	"Bacteroidetes (is) [C]"	"Bacteroidetes (is) [C]"	"Bacteroidetes (is) [C]"
"OTU_2005"	"Bacteria"	"Chloroflexi"	"Anaerolineae"	"Anaerolineae [C]"	"Anaerolineae [C]"	"Anaerolineae [C]"
"OTU_2006"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"
"OTU_2007"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2008"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2009"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2010"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2011"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp16"	"Acidobacteria Gp16 [C]"	"Acidobacteria Gp16 [C]"	"Acidobacteria Gp16 [C]"
"OTU_2012"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Gp4"
"OTU_2013"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"
"OTU_2014"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2015"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineae [C]"	"Caldilineae [C]"	"Caldilineae [C]"
"OTU_2016"	"Bacteria"	"Chloroflexi"	"Caldilineae"	"Caldilineae [C]"	"Caldilineae [C]"	"Caldilineae [C]"
"OTU_2017"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2018"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_2019"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2020"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2021"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_2022"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2023"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2024"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_2025"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2026"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_2027"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_2028"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_2029"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp13"	"Acidobacteria Gp13 [C]"	"Acidobacteria Gp13 [C]"	"Gp13"
"OTU_2030"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2031"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Comamonadaceae [F]"
"OTU_2032"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Vogesella"
"OTU_2033"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_2034"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2035"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2036"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2037"	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"Chlamydiia [C]"	"Chlamydiia [C]"	"Chlamydiia [C]"
"OTU_2038"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_2039"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2040"	"Bacteria"	"Poribacteria"	"Poribacteria [P]"	"Poribacteria [P]"	"Poribacteria [P]"	"Poribacteria genera (is)"
"OTU_2041"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_2042"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_2043"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_2044"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_2045"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2046"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp16"	"Acidobacteria Gp16 [C]"	"Acidobacteria Gp16 [C]"	"Gp16"
"OTU_2047"	"Bacteria"	"Armatimonadetes"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"	"Armatimonadetes [P]"
"OTU_2048"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_2049"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Planomicrobium"
"OTU_2050"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2051"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 genera (is)"
"OTU_2052"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2053"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2054"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2055"	"Bacteria"	"BRC1"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"	"BRC1 [P]"
"OTU_2056"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2057"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2058"	"Bacteria"	"Ignavibacteriae"	"Ignavibacteria"	"Ignavibacteria [C]"	"Ignavibacteria [C]"	"Ignavibacteria [C]"
"OTU_2059"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_2060"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_2061"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Xanthomonadaceae [F]"
"OTU_2062"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_2063"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Methylobacteriaceae [F]"
"OTU_2064"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_2065"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2066"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2067"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp3"	"Acidobacteria Gp3 [C]"	"Acidobacteria Gp3 [C]"	"Acidobacteria Gp3 [C]"
"OTU_2068"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2069"	"Bacteria"	"Actinobacteria"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"	"Actinobacteria [P]"
"OTU_2070"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2071"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_2072"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_2073"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Gp4"
"OTU_2074"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae 1"	"Bacillus"
"OTU_2075"	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"Chlamydiales"	"Chlamydiales [O]"	"Chlamydiales [O]"
"OTU_2076"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2077"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2078"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2079"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2080"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetia [C]"	"Planctomycetia [C]"	"Planctomycetia [C]"
"OTU_2081"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_2082"	"Bacteria"	"Chlamydiae"	"Chlamydiia"	"Chlamydiia [C]"	"Chlamydiia [C]"	"Chlamydiia [C]"
"OTU_2083"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2084"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_2085"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2086"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2087"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2088"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_2089"	"Bacteria"	"Chlamydiae"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"	"Chlamydiae [P]"
"OTU_2090"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_2091"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_2092"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_2093"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2094"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiales [O]"	"Rhizobiales [O]"
"OTU_2095"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadales [O]"	"Desulfuromonadales [O]"
"OTU_2096"	"Bacteria"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadetes [C]"	"Chthonomonadetes [C]"	"Chthonomonadetes [C]"
"OTU_2097"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2098"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2099"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2100"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2101"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2102"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2103"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2104"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_2105"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2106"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2107"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2108"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 [C]"
"OTU_2109"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2110"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_2111"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2112"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2113"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2114"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Desulfomonile"
"OTU_2115"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2116"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2117"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_2118"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_2119"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_2120"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
